12-20 04:43:53.690 I/flutter (24613): [AgusDemo] Starting initialization...
12-20 04:43:53.691 I/flutter (24613): [AgusDemo] Initializing MWM storage...
12-20 04:43:55.095 I/flutter (24613): [AgusDemo] Extracting World.mwm...
12-20 04:43:56.872 I/flutter (24613): [AgusDemo] Extracting WorldCoasts.mwm...
12-20 04:43:56.881 I/flutter (24613): [AgusDemo] Extracting Gibraltar.mwm...
12-20 04:43:58.290 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.290 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.292 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.294 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.294 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.297 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.298 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.298 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.301 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.301 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.302 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.308 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.308 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
